timestamp,valence,arousal,stress_score,dominant_zone,pitch,jitter,shimmer
2026-03-14T21:29:50.938668,-0.5807,0.2221,0.5014,neutral,0.00,0.0000,0.0000
2026-03-14T21:29:53.098563,-0.2867,0.0337,0.2602,neutral,0.00,0.0000,0.0000
2026-03-14T21:29:55.091116,-0.3653,0.2237,0.3945,neutral,0.00,0.0000,0.0000
2026-03-14T21:29:57.091254,-0.2732,0.3349,0.4040,high_stress,0.00,0.0000,0.0000
2026-03-14T21:29:59.071297,-0.4704,0.5362,0.6033,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:01.081013,-0.4435,0.4151,0.5293,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:03.077044,-0.4145,-0.0645,0.2750,neutral,0.00,0.0000,0.0000
2026-03-14T21:30:05.115702,-0.5022,0.3609,0.5315,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:07.073603,-0.4611,0.3224,0.4917,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:09.068808,-0.6301,0.4440,0.6371,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:11.061124,-0.5444,0.2565,0.5005,neutral,0.00,0.0000,0.0000
2026-03-14T21:30:13.089041,-0.3746,0.3398,0.4572,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:15.089920,-0.6676,0.3456,0.6066,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:22.513021,-0.4194,0.3829,0.5012,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:24.825032,-0.3465,0.5821,0.5643,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:26.842940,-1.0000,0.3817,0.7909,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:28.837241,-0.6346,0.4431,0.6388,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:30.838504,-0.6935,0.6678,0.7807,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:32.845298,-0.5284,0.5583,0.6433,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:34.843905,-0.7393,0.3816,0.6604,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:36.837534,-0.0527,0.3612,0.3069,neutral,0.00,0.0000,0.0000
2026-03-14T21:30:38.848635,-0.2582,0.3024,0.3803,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:40.840398,-0.3968,0.3195,0.4581,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:45.875024,-0.1182,0.0449,0.1816,neutral,0.00,0.0000,0.0000
2026-03-14T21:30:47.567678,-0.5944,0.3140,0.5542,high_stress,0.00,0.0000,0.0000
2026-03-14T21:30:49.875604,-0.5441,0.2699,0.5070,neutral,0.00,0.0000,0.0000
2026-03-14T21:30:51.875382,-0.6346,0.3752,0.6049,high_stress,0.00,0.0000,0.0000
2026-03-14T21:31:36.772929,-1.0000,0.8433,1.0000,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:00.430768,-0.4370,0.2225,0.4297,neutral,0.00,0.0000,0.0000
2026-03-14T21:33:02.420596,-0.4976,0.1715,0.4346,neutral,0.00,0.0000,0.0000
2026-03-14T21:33:04.422020,-0.5717,0.2251,0.4984,neutral,0.00,0.0000,0.0000
2026-03-14T21:33:06.419807,-0.3495,0.1163,0.3329,neutral,0.00,0.0000,0.0000
2026-03-14T21:33:08.420651,-0.8078,0.3091,0.6584,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:10.427287,-0.6375,0.3901,0.6138,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:12.423461,-0.4857,0.3513,0.5185,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:14.422789,-0.4917,0.3914,0.5415,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:16.412545,-0.6710,0.7395,0.8053,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:18.410703,-0.5360,0.5275,0.6318,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:20.424045,-0.5807,0.5483,0.6645,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:22.434886,-0.9679,0.4101,0.7890,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:24.480105,-0.3970,0.4430,0.5200,high_stress,0.00,0.0000,0.0000
2026-03-14T21:33:26.415304,-0.6417,0.3121,0.5769,high_stress,0.00,0.0000,0.0000
2026-03-15T11:26:29.319480,0.1535,0.1065,0.0765,neutral,0.00,0.0000,0.0000
2026-03-15T11:26:31.135472,-0.4936,0.1265,0.4101,neutral,0.00,0.0000,0.0000
2026-03-15T11:26:33.172836,-0.2077,0.0177,0.2127,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:38.318019,-0.6528,0.2652,0.5590,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:40.207360,-0.1788,0.2668,0.3228,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:42.262081,-0.2510,0.1318,0.2914,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:44.858659,-0.4458,0.4235,0.5346,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:44.962857,-0.1744,0.0390,0.2067,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:45.031680,-0.3941,-0.0234,0.2854,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:45.118682,-0.5265,0.3914,0.5589,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:45.201079,-0.1012,0.2831,0.2922,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:45.281484,-0.2380,0.2594,0.3487,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:45.372448,-0.4872,0.3103,0.4987,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:45.492208,-0.5940,-0.0168,0.3886,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:45.596551,-0.2228,-0.0419,0.1904,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:45.694391,0.0434,0.4182,0.2874,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:45.783229,-0.2218,0.1193,0.2705,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:45.895036,-0.4332,0.1442,0.3887,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.006613,-0.0877,0.4541,0.3709,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.139195,-0.3987,0.0163,0.3075,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.260789,-0.1132,0.3349,0.3240,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.403044,-0.3309,0.2952,0.4131,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.421617,-0.1277,0.1451,0.2364,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.520504,-0.2699,0.4869,0.4784,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:46.577091,-0.2580,0.1458,0.3019,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.625167,-0.2313,0.2506,0.3409,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.665967,-0.0581,0.4323,0.3452,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.705575,-0.4808,0.1593,0.4201,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.748997,-0.2813,0.2119,0.3466,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.811258,-0.0917,0.0413,0.1665,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:46.911089,-0.3709,0.2216,0.3962,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:47.029856,0.0620,0.0969,0.1174,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:47.126662,-0.3115,0.3280,0.4197,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:47.229985,-0.6238,0.4971,0.6605,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:47.322102,-0.2958,0.1949,0.3454,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:47.414132,-0.3215,0.2483,0.3849,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:47.493975,-0.3875,-0.0089,0.2893,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:47.640078,-0.7484,-0.0773,0.4355,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:47.731431,-0.2673,0.1209,0.2941,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:47.778996,-0.4885,0.0511,0.3698,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:47.820133,-0.5420,0.6854,0.7137,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:47.892475,-0.2061,0.3325,0.3693,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:48.010119,-0.2556,0.3520,0.4038,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:48.101071,-0.2507,-0.0105,0.2201,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:48.307300,-0.3026,-0.0105,0.2460,neutral,0.00,0.0000,0.0000
2026-03-15T11:31:48.309639,-0.2909,0.7119,0.6014,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:48.442854,-0.3073,0.4324,0.4699,high_stress,0.00,0.0000,0.0000
2026-03-15T11:31:48.585350,-0.4208,0.3511,0.4860,high_stress,0.00,0.0000,0.0000
